ID_Venta,Cantidad_Items_Total,Variedad_Items_Ticket,Subtotal_Total,Gasto_Utiles,Gasto_Fotocopiadora,Gasto_Otros,Precio_Promedio_Item,Ratio_Utiles,Departamento_Dominante,Es_Outlier_Monto,Segmento_Volumen_Ticket
VTA-0000001,5,2,9.4,4.0,5.4,0.0,1.88,0.4255,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000002,1,0,1.2,1.2,0.0,0.0,1.2,1.0,UTILES,False,Estándar Minorista
VTA-0000003,17,2,10.0,0.0,10.0,0.0,0.5882,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000004,245,1,19.6,0.0,19.6,0.0,0.08,0.0,FOTOCOPIADORA,True,Mayorista / Compra Atípica
VTA-0000005,3,1,1.8,1.8,0.0,0.0,0.6,1.0,UTILES,False,Estándar Minorista
VTA-0000006,3,1,1.5,1.5,0.0,0.0,0.5,1.0,UTILES,False,Estándar Minorista
VTA-0000007,1,1,1.0,0.0,1.0,0.0,1.0,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000008,6,1,0.6,0.0,0.6,0.0,0.1,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000009,16,1,1.6,0.0,1.6,0.0,0.1,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000010,23,1,2.3,0.0,2.3,0.0,0.1,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000011,11,1,11.0,0.0,11.0,0.0,1.0,0.0,FOTOCOPIADORA,True,Mayorista / Compra Atípica
VTA-0000012,16,2,10.5,0.0,10.5,0.0,0.6562,0.0,FOTOCOPIADORA,True,Mayorista / Compra Atípica
VTA-0000013,11,1,1.1,0.0,1.1,0.0,0.1,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000014,1,1,1.0,1.0,0.0,0.0,1.0,1.0,UTILES,False,Estándar Minorista
VTA-0000015,24,1,2.4,0.0,2.4,0.0,0.1,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000016,1,1,1.0,0.0,1.0,0.0,1.0,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000017,1,1,1.5,1.5,0.0,0.0,1.5,1.0,UTILES,False,Estándar Minorista
VTA-0000018,1,1,0.1,0.0,0.1,0.0,0.1,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000019,1,1,0.8,0.0,0.8,0.0,0.8,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000020,3,1,0.3,0.0,0.3,0.0,0.1,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000021,55,2,5.7,0.0,5.7,0.0,0.1036,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000022,2,1,2.0,0.0,2.0,0.0,1.0,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000023,3,2,3.0,3.0,0.0,0.0,1.0,1.0,UTILES,False,Estándar Minorista
VTA-0000024,1,1,1.0,1.0,0.0,0.0,1.0,1.0,UTILES,False,Estándar Minorista
VTA-0000025,4,1,0.8,0.8,0.0,0.0,0.2,1.0,UTILES,False,Estándar Minorista
VTA-0000026,1,1,6.5,6.5,0.0,0.0,6.5,1.0,UTILES,False,Estándar Minorista
VTA-0000027,384,1,30.7,0.0,30.7,0.0,0.0799,0.0,FOTOCOPIADORA,True,Mayorista / Compra Atípica
VTA-0000028,1,1,3.0,3.0,0.0,0.0,3.0,1.0,UTILES,False,Estándar Minorista
VTA-0000029,1,1,2.5,2.5,0.0,0.0,2.5,1.0,UTILES,False,Estándar Minorista
VTA-0000030,9,1,1.8,1.8,0.0,0.0,0.2,1.0,UTILES,False,Estándar Minorista
VTA-0000031,1,1,1.5,1.5,0.0,0.0,1.5,1.0,UTILES,False,Estándar Minorista
VTA-0000032,4,1,0.8,0.8,0.0,0.0,0.2,1.0,UTILES,False,Estándar Minorista
VTA-0000033,15,1,1.5,0.0,1.5,0.0,0.1,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000034,2,2,4.0,4.0,0.0,0.0,2.0,1.0,UTILES,False,Estándar Minorista
VTA-0000035,3,1,0.3,0.0,0.3,0.0,0.1,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000036,4,1,0.4,0.0,0.4,0.0,0.1,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000037,2,2,5.0,5.0,0.0,0.0,2.5,1.0,UTILES,False,Estándar Minorista
VTA-0000038,58,1,5.8,0.0,5.8,0.0,0.1,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000039,1,1,0.6,0.6,0.0,0.0,0.6,1.0,UTILES,False,Estándar Minorista
VTA-0000040,4,2,2.5,0.0,2.5,0.0,0.625,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000041,1,1,0.6,0.6,0.0,0.0,0.6,1.0,UTILES,False,Estándar Minorista
VTA-0000042,4,4,14.5,14.5,0.0,0.0,3.625,1.0,UTILES,True,Mayorista / Compra Atípica
VTA-0000043,3,3,5.5,5.5,0.0,0.0,1.8333,1.0,UTILES,False,Estándar Minorista
VTA-0000044,1,1,8.0,8.0,0.0,0.0,8.0,1.0,UTILES,False,Estándar Minorista
VTA-0000045,1,1,8.0,8.0,0.0,0.0,8.0,1.0,UTILES,False,Estándar Minorista
VTA-0000046,274,39,171.2,171.2,0.0,0.0,0.6248,1.0,UTILES,True,Mayorista / Compra Atípica
VTA-0000047,3,2,5.0,5.0,0.0,0.0,1.6667,1.0,UTILES,False,Estándar Minorista
VTA-0000048,1,1,2.0,2.0,0.0,0.0,2.0,1.0,UTILES,False,Estándar Minorista
VTA-0000049,1,1,9.0,9.0,0.0,0.0,9.0,1.0,UTILES,False,Estándar Minorista
VTA-0000050,1,1,2.5,2.5,0.0,0.0,2.5,1.0,UTILES,False,Estándar Minorista
VTA-0000051,3,1,3.0,3.0,0.0,0.0,1.0,1.0,UTILES,False,Estándar Minorista
VTA-0000052,1,1,9.0,9.0,0.0,0.0,9.0,1.0,UTILES,False,Estándar Minorista
VTA-0000053,3,1,3.0,3.0,0.0,0.0,1.0,1.0,UTILES,False,Estándar Minorista
VTA-0000054,32,1,3.2,0.0,3.2,0.0,0.1,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000055,4,1,0.4,0.0,0.4,0.0,0.1,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000056,1,1,9.0,9.0,0.0,0.0,9.0,1.0,UTILES,False,Estándar Minorista
VTA-0000057,3,1,3.0,3.0,0.0,0.0,1.0,1.0,UTILES,False,Estándar Minorista
VTA-0000058,1,1,2.5,2.5,0.0,0.0,2.5,1.0,UTILES,False,Estándar Minorista
VTA-0000059,1,1,12.0,12.0,0.0,0.0,12.0,1.0,UTILES,True,Mayorista / Compra Atípica
VTA-0000060,1,1,4.0,4.0,0.0,0.0,4.0,1.0,UTILES,False,Estándar Minorista
VTA-0000061,275,1,22.0,0.0,22.0,0.0,0.08,0.0,FOTOCOPIADORA,True,Mayorista / Compra Atípica
VTA-0000062,1,1,4.0,4.0,0.0,0.0,4.0,1.0,UTILES,False,Estándar Minorista
VTA-0000063,1,1,2.0,2.0,0.0,0.0,2.0,1.0,UTILES,False,Estándar Minorista
VTA-0000064,2,2,1.5,0.0,1.5,0.0,0.75,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000065,68,1,6.8,0.0,6.8,0.0,0.1,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000066,1,1,1.0,0.0,1.0,0.0,1.0,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000067,2,1,2.0,0.0,2.0,0.0,1.0,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000068,1,1,6.5,6.5,0.0,0.0,6.5,1.0,UTILES,False,Estándar Minorista
VTA-0000069,2,2,1.5,1.5,0.0,0.0,0.75,1.0,UTILES,False,Estándar Minorista
VTA-0000070,1,1,6.5,6.5,0.0,0.0,6.5,1.0,UTILES,False,Estándar Minorista
VTA-0000071,1,1,1.0,1.0,0.0,0.0,1.0,1.0,UTILES,False,Estándar Minorista
VTA-0000072,2,2,1.6,1.6,0.0,0.0,0.8,1.0,UTILES,False,Estándar Minorista
VTA-0000073,262,1,21.0,0.0,21.0,0.0,0.0802,0.0,FOTOCOPIADORA,True,Mayorista / Compra Atípica
VTA-0000074,2,2,2.8,2.8,0.0,0.0,1.4,1.0,UTILES,False,Estándar Minorista
VTA-0000075,1,1,1.0,1.0,0.0,0.0,1.0,1.0,UTILES,False,Estándar Minorista
VTA-0000076,1,1,5.0,5.0,0.0,0.0,5.0,1.0,UTILES,False,Estándar Minorista
VTA-0000077,9,3,4.2,4.2,0.0,0.0,0.4667,1.0,UTILES,False,Estándar Minorista
VTA-0000078,1,1,8.0,8.0,0.0,0.0,8.0,1.0,UTILES,False,Estándar Minorista
VTA-0000079,2,2,3.0,3.0,0.0,0.0,1.5,1.0,UTILES,False,Estándar Minorista
VTA-0000080,1,1,1.0,1.0,0.0,0.0,1.0,1.0,UTILES,False,Estándar Minorista
VTA-0000081,9,4,5.2,5.2,0.0,0.0,0.5778,1.0,UTILES,False,Estándar Minorista
VTA-0000082,21,1,10.5,0.0,10.5,0.0,0.5,0.0,FOTOCOPIADORA,True,Mayorista / Compra Atípica
VTA-0000083,1,1,1.0,1.0,0.0,0.0,1.0,1.0,UTILES,False,Estándar Minorista
VTA-0000084,44,1,3.5,0.0,3.5,0.0,0.0795,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000085,1,1,1.0,1.0,0.0,0.0,1.0,1.0,UTILES,False,Estándar Minorista
