ID;Fecha;Metodo_Pago;ID_Cliente;Total
VTA-0000001;15/03/26;YAPE;1;9.4
VTA-0000002;15/03/26;EFECTIVO;1;1.2
VTA-0000003;15/03/26;EFECTIVO;1;10
VTA-0000004;15/03/26;EFECTIVO;1;19.6
VTA-0000005;16/03/26;YAPE;1;1.8
VTA-0000006;16/03/26;EFECTIVO;1;1.5
VTA-0000007;16/03/26;EFECTIVO;1;1
VTA-0000008;16/03/26;EFECTIVO;1;0.6
VTA-0000009;16/03/26;EFECTIVO;1;1.6
VTA-0000010;16/03/26;EFECTIVO;1;2.3
VTA-0000011;16/03/26;EFECTIVO;1;11
VTA-0000012;16/03/26;YAPE;1;10.5
VTA-0000013;17/03/26;YAPE;1;1.1
VTA-0000014;17/03/26;EFECTIVO;1;1
VTA-0000015;17/03/26;EFECTIVO;1;2.4
VTA-0000016;17/03/26;EFECTIVO;1;1
VTA-0000017;17/03/26;EFECTIVO;1;1.5
VTA-0000018;17/03/26;EFECTIVO;1;0.1
VTA-0000019;17/03/26;EFECTIVO;1;0.8
VTA-0000020;17/03/26;EFECTIVO;1;0.3
VTA-0000021;17/03/26;YAPE;1;5.7
VTA-0000022;17/03/26;EFECTIVO;1;2
VTA-0000023;17/03/26;EFECTIVO;1;3
VTA-0000024;17/03/26;EFECTIVO;1;1
VTA-0000025;17/03/26;YAPE;1;0.8
VTA-0000026;17/03/26;EFECTIVO;1;6.5
VTA-0000027;17/03/26;EFECTIVO;1;30.7
VTA-0000028;17/03/26;EFECTIVO;1;3
VTA-0000029;18/03/26;EFECTIVO;1;2.5
VTA-0000030;18/03/26;EFECTIVO;1;1.8
VTA-0000031;18/03/26;YAPE;1;1.5
VTA-0000032;18/03/26;EFECTIVO;1;0.8
VTA-0000033;18/03/26;EFECTIVO;1;1.5
VTA-0000034;18/03/26;EFECTIVO;1;4
VTA-0000035;18/03/26;EFECTIVO;1;0.3
VTA-0000036;18/03/26;EFECTIVO;1;0.4
VTA-0000037;18/03/26;EFECTIVO;1;5
VTA-0000038;18/03/26;EFECTIVO;1;5.8
VTA-0000039;18/03/26;YAPE;1;0.6
VTA-0000040;18/03/26;EFECTIVO;1;2.5
VTA-0000041;18/03/26;EFECTIVO;1;0.6
VTA-0000042;18/03/26;EFECTIVO;1;14.5
VTA-0000043;18/03/26;YAPE;1;5.5
