ID,Fecha,Metodo_Pago,ID_Cliente,Total
VTA-0000001,2026-03-15,YAPE,1,9.4
VTA-0000002,2026-03-15,EFECTIVO,1,1.2
VTA-0000003,2026-03-15,EFECTIVO,1,10.0
VTA-0000004,2026-03-15,EFECTIVO,1,19.6
VTA-0000005,2026-03-16,YAPE,1,1.8
VTA-0000006,2026-03-16,EFECTIVO,1,1.5
VTA-0000007,2026-03-16,EFECTIVO,1,1.0
VTA-0000008,2026-03-16,EFECTIVO,1,0.6
VTA-0000009,2026-03-16,EFECTIVO,1,1.6
VTA-0000010,2026-03-16,EFECTIVO,1,2.3
VTA-0000011,2026-03-16,EFECTIVO,1,11.0
VTA-0000012,2026-03-16,YAPE,1,10.5
VTA-0000013,2026-03-17,YAPE,1,1.1
VTA-0000014,2026-03-17,EFECTIVO,1,1.0
VTA-0000015,2026-03-17,EFECTIVO,1,2.4
VTA-0000016,2026-03-17,EFECTIVO,1,1.0
VTA-0000017,2026-03-17,EFECTIVO,1,1.5
VTA-0000018,2026-03-17,EFECTIVO,1,0.1
VTA-0000019,2026-03-17,EFECTIVO,1,0.8
VTA-0000020,2026-03-17,EFECTIVO,1,0.3
VTA-0000021,2026-03-17,YAPE,1,5.7
VTA-0000022,2026-03-17,EFECTIVO,1,2.0
VTA-0000023,2026-03-17,EFECTIVO,1,3.0
VTA-0000024,2026-03-17,EFECTIVO,1,1.0
VTA-0000025,2026-03-17,YAPE,1,0.8
VTA-0000026,2026-03-17,EFECTIVO,1,6.5
VTA-0000027,2026-03-17,EFECTIVO,1,30.7
VTA-0000028,2026-03-17,EFECTIVO,1,3.0
VTA-0000029,2026-03-18,EFECTIVO,1,2.5
VTA-0000030,2026-03-18,EFECTIVO,1,1.8
VTA-0000031,2026-03-18,YAPE,1,1.5
VTA-0000032,2026-03-18,EFECTIVO,1,0.8
VTA-0000033,2026-03-18,EFECTIVO,1,1.5
VTA-0000034,2026-03-18,EFECTIVO,1,4.0
VTA-0000035,2026-03-18,EFECTIVO,1,0.3
VTA-0000036,2026-03-18,EFECTIVO,1,0.4
VTA-0000037,2026-03-18,EFECTIVO,1,5.0
VTA-0000038,2026-03-18,EFECTIVO,1,5.8
VTA-0000039,2026-03-18,YAPE,1,0.6
VTA-0000040,2026-03-18,EFECTIVO,1,2.5
VTA-0000041,2026-03-18,EFECTIVO,1,0.6
VTA-0000042,2026-03-18,EFECTIVO,1,14.5
VTA-0000043,2026-03-18,YAPE,1,5.5
VTA-0000044,2026-03-18,EFECTIVO,1,8.0
VTA-0000045,2026-03-18,YAPE,1,8.0
VTA-0000046,2026-03-18,EFECTIVO,1,171.2
VTA-0000047,2026-03-19,EFECTIVO,1,5.0
VTA-0000048,2026-03-19,EFECTIVO,1,2.0
VTA-0000049,2026-03-19,EFECTIVO,1,9.0
VTA-0000050,2026-03-19,EFECTIVO,1,2.5
VTA-0000051,2026-03-19,EFECTIVO,1,3.0
VTA-0000052,2026-03-19,YAPE,1,9.0
VTA-0000053,2026-03-19,YAPE,1,3.0
VTA-0000054,2026-03-19,EFECTIVO,1,3.2
VTA-0000055,2026-03-19,EFECTIVO,1,0.4
VTA-0000056,2026-03-19,EFECTIVO,1,9.0
VTA-0000057,2026-03-19,EFECTIVO,1,3.0
VTA-0000058,2026-03-19,EFECTIVO,1,2.5
VTA-0000059,2026-03-19,YAPE,1,12.0
VTA-0000060,2026-03-19,EFECTIVO,1,4.0
VTA-0000061,2026-03-19,YAPE,1,22.0
VTA-0000062,2026-03-20,EFECTIVO,1,4.0
VTA-0000063,2026-03-20,EFECTIVO,1,2.0
VTA-0000064,2026-03-20,EFECTIVO,1,1.5
VTA-0000065,2026-03-20,EFECTIVO,1,6.8
VTA-0000066,2026-03-20,EFECTIVO,1,1.0
