ID,Metodo_Pago,total_monto,ID_Venta,n_items,diversidad_productos,n_departamentos,max_subtotal,std_subtotal,ticket_promedio_item,ratio_diversidad,Cluster_KMeans,Cluster_DBSCAN,Cluster_GMM,Cluster_Final
VTA-0000001,YAPE,9.4,VTA-0000001,5,2,2,5.4,0.9899494936611668,1.8800000000000001,0.4,2,-1,2,2
VTA-0000002,EFECTIVO,1.2,VTA-0000002,1,0,1,1.2,0.0,1.2,0.0,0,-1,1,0
VTA-0000005,YAPE,1.8,VTA-0000005,3,1,1,1.8,0.0,0.6,0.3333333333333333,1,0,1,1
VTA-0000006,EFECTIVO,1.5,VTA-0000006,3,1,1,1.5,0.0,0.5,0.3333333333333333,1,0,1,1
VTA-0000007,EFECTIVO,1.0,VTA-0000007,1,1,1,1.0,0.0,1.0,1.0,0,1,0,0
VTA-0000008,EFECTIVO,0.6,VTA-0000008,6,1,1,0.6,0.0,0.09999999999999999,0.16666666666666666,1,0,1,1
VTA-0000009,EFECTIVO,1.6,VTA-0000009,16,1,1,1.6,0.0,0.1,0.0625,1,0,1,1
VTA-0000013,YAPE,1.1,VTA-0000013,11,1,1,1.1,0.0,0.1,0.09090909090909091,1,0,1,1
VTA-0000014,EFECTIVO,1.0,VTA-0000014,1,1,1,1.0,0.0,1.0,1.0,0,1,0,0
VTA-0000016,EFECTIVO,1.0,VTA-0000016,1,1,1,1.0,0.0,1.0,1.0,0,1,0,0
VTA-0000017,EFECTIVO,1.5,VTA-0000017,1,1,1,1.5,0.0,1.5,1.0,0,1,0,0
VTA-0000018,EFECTIVO,0.1,VTA-0000018,1,1,1,0.1,0.0,0.1,1.0,0,1,0,0
VTA-0000019,EFECTIVO,0.8,VTA-0000019,1,1,1,0.8,0.0,0.8,1.0,0,1,0,0
VTA-0000020,EFECTIVO,0.3,VTA-0000020,3,1,1,0.3,0.0,0.09999999999999999,0.3333333333333333,1,0,1,1
VTA-0000022,EFECTIVO,2.0,VTA-0000022,2,1,1,2.0,0.0,1.0,0.5,0,0,0,0
VTA-0000023,EFECTIVO,3.0,VTA-0000023,3,2,1,2.0,0.7071067811865476,1.0,0.6666666666666666,1,2,1,1
VTA-0000024,EFECTIVO,1.0,VTA-0000024,1,1,1,1.0,0.0,1.0,1.0,0,1,0,0
VTA-0000025,YAPE,0.8,VTA-0000025,4,1,1,0.8,0.0,0.2,0.25,1,0,1,1
VTA-0000026,EFECTIVO,6.5,VTA-0000026,1,1,1,6.5,0.0,6.5,1.0,2,1,0,2
VTA-0000028,EFECTIVO,3.0,VTA-0000028,1,1,1,3.0,0.0,3.0,1.0,0,1,0,0
VTA-0000029,EFECTIVO,2.5,VTA-0000029,1,1,1,2.5,0.0,2.5,1.0,0,1,0,0
VTA-0000030,EFECTIVO,1.8,VTA-0000030,9,1,1,1.8,0.0,0.2,0.1111111111111111,1,0,1,1
VTA-0000031,YAPE,1.5,VTA-0000031,1,1,1,1.5,0.0,1.5,1.0,0,1,0,0
