Total Itemsets Frecuentes (min_support=0.005): 51
Total Reglas generadas (Lift > 1.0): 38

HOJAS DE COLORES -> CARTULINA, SILICONA | Sup: 0.007 | Conf: 24.14% | Lift: 20.61
CARTULINA, SILICONA -> HOJAS DE COLORES | Sup: 0.007 | Conf: 63.64% | Lift: 20.61
TEMPERA -> PINCEL | Sup: 0.005 | Conf: 26.32% | Lift: 16.47
PINCEL -> TEMPERA | Sup: 0.005 | Conf: 33.33% | Lift: 16.47
CARTULINA, SILICONA -> HOJA BOND | Sup: 0.005 | Conf: 45.45% | Lift: 12.55
HOJA BOND -> CARTULINA, SILICONA | Sup: 0.005 | Conf: 14.71% | Lift: 12.55
CARTULINA, HOJA BOND -> HOJAS DE COLORES | Sup: 0.007 | Conf: 36.84% | Lift: 11.93
HOJAS DE COLORES -> CARTULINA, HOJA BOND | Sup: 0.007 | Conf: 24.14% | Lift: 11.93
HOJA BOND -> CARTULINA, HOJAS DE COLORES | Sup: 0.007 | Conf: 20.59% | Lift: 11.37
CARTULINA, HOJAS DE COLORES -> HOJA BOND | Sup: 0.007 | Conf: 41.18% | Lift: 11.37
CARTULINA -> SILICONA, HOJAS DE COLORES | Sup: 0.007 | Conf: 6.93% | Lift: 9.30
SILICONA, HOJAS DE COLORES -> CARTULINA | Sup: 0.007 | Conf: 100.00% | Lift: 9.30
HOJA BOND -> HOJAS DE COLORES | Sup: 0.010 | Conf: 26.47% | Lift: 8.57
HOJAS DE COLORES -> HOJA BOND | Sup: 0.010 | Conf: 31.03% | Lift: 8.57
SILICONA -> CARTULINA, HOJAS DE COLORES | Sup: 0.007 | Conf: 14.89% | Lift: 8.23
CARTULINA, HOJAS DE COLORES -> SILICONA | Sup: 0.007 | Conf: 41.18% | Lift: 8.23
MICROPOROSO -> SILICONA | Sup: 0.007 | Conf: 41.18% | Lift: 8.23
SILICONA -> MICROPOROSO | Sup: 0.007 | Conf: 14.89% | Lift: 8.23
LAPIZ -> PLUMON / RESALTADOR | Sup: 0.009 | Conf: 34.78% | Lift: 8.17
PLUMON / RESALTADOR -> LAPIZ | Sup: 0.009 | Conf: 20.00% | Lift: 8.17
CARTULINA -> SILICONA, HOJA BOND | Sup: 0.005 | Conf: 4.95% | Lift: 7.75
SILICONA, HOJA BOND -> CARTULINA | Sup: 0.005 | Conf: 83.33% | Lift: 7.75
CARTULINA -> HOJAS DE COLORES, HOJA BOND | Sup: 0.007 | Conf: 6.93% | Lift: 7.23
HOJAS DE COLORES, HOJA BOND -> CARTULINA | Sup: 0.007 | Conf: 77.78% | Lift: 7.23
CARTULINA -> HOJAS DE COLORES | Sup: 0.018 | Conf: 16.83% | Lift: 5.45
HOJAS DE COLORES -> CARTULINA | Sup: 0.018 | Conf: 58.62% | Lift: 5.45
CARTULINA, HOJA BOND -> SILICONA | Sup: 0.005 | Conf: 26.32% | Lift: 5.26
SILICONA -> CARTULINA, HOJA BOND | Sup: 0.005 | Conf: 10.64% | Lift: 5.26
CARTULINA -> HOJA BOND | Sup: 0.020 | Conf: 18.81% | Lift: 5.20
HOJA BOND -> CARTULINA | Sup: 0.020 | Conf: 55.88% | Lift: 5.20
HOJAS DE COLORES -> SILICONA | Sup: 0.007 | Conf: 24.14% | Lift: 4.82
SILICONA -> HOJAS DE COLORES | Sup: 0.007 | Conf: 14.89% | Lift: 4.82
HOJA BOND -> SILICONA | Sup: 0.006 | Conf: 17.65% | Lift: 3.53
SILICONA -> HOJA BOND | Sup: 0.006 | Conf: 12.77% | Lift: 3.53
PAPEL CREPE -> CARTULINA | Sup: 0.005 | Conf: 35.71% | Lift: 3.32
